Campaign,Measurement,Month1,Month2,Rev_YTD,Rev,Rev_2023,Rev_2024,Flagging_Campaign,Source,RFS_Date,Created_Date,Last_Stage_Change_Date,Opportunity_ID,SF_Opportunity_Id,Campaign_Name,Opportunity_Name,CA_Number,Account_Name,Sub_Line_of_Business,Owner_Group,Opportunity_Owner:_Division,Product_Offer,Opportunity_Owner,Stage,Stage_Count,Opportunity_Quantity,Estimated_Contract_Period_(in_Months),Total_Contract_Value_(converted),Total_OTC_(converted),Total_MRC_(converted),New_Group
ISPMaxBoost,FAB,4,Apr,5000000,25000000,185000000,60000000,Done,SFA,4/14/2023,4/14/2023,4/27/2023,0065g00000WhSWb,0065g00000WhSWbAAN,(2023-Q2)MaximumBoost,MPLS 1000 SATELIT GLOBAL MEDIA  BANGSALSARI,,SATELIT GLOBAL MEDIA,Internet Service Provider(ISP),REGIONAL ENTERPRISE ACCOUNT,EAST REGIONAL,,71942203 (KUN RIYANTO),Complete,1,1,12,245000000,5000000,20000000,REA
ISPMaxBoost,FAB,4,Apr,5000000,15000000,95000000,30000000,Done,SFA,4/18/2023,4/17/2023,4/27/2023,0065g00000WhXQb,0065g00000WhXQbAAN,(2023-Q2)MaximumBoost,MPLS 300 KOMUNIKASI INTI DATA MAKASSAR,,KOMUNIKASI INTI DATA,Internet Service Provider(ISP),REGIONAL ENTERPRISE ACCOUNT,EAST REGIONAL,,71942203 (KUN RIYANTO),Complete,1,1,12,125000000,5000000,10000000,REA
ISPMaxBoost,FAB,4,Apr,5000000,30000000,230000000,75000000,Done,SFA,4/18/2023,4/17/2023,4/27/2023,0065g00000WhXVz,0065g00000WhXVzAAN,(2023-Q2)MaximumBoost,MPLS 1000 MBPS KOMUNIKASI INTI DATA BANTEN,,KOMUNIKASI INTI DATA,Internet Service Provider(ISP),REGIONAL ENTERPRISE ACCOUNT,EAST REGIONAL,,71942203 (KUN RIYANTO),Complete,1,1,12,305000000,5000000,25000000,REA
ISPMaxBoost,FAB,4,Apr,5000000,13000000,77000000,24000000,Done,SFA,4/18/2023,4/18/2023,4/27/2023,0065g00000Wha6b,0065g00000Wha6bAAB,(2023-Q2)MaximumBoost,MPLS 300 ARTORIUS TELEMETRI SENTOSA GRESIK,MTX07852428,ARTORIUS TELEMETRI SENTOSA,Internet Service Provider(ISP),REGIONAL ENTERPRISE ACCOUNT,EAST REGIONAL,,71942203 (KUN RIYANTO),Complete,1,1,12,101000000,5000000,8000000,REA
ISPMaxBoost,FAB,4,Apr,5000000,37000000,293000000,96000000,Done,SFA,4/20/2023,4/20/2023,4/27/2023,0065g00000Whdki,0065g00000WhdkiAAB,(2023-Q2)MaximumBoost,MPLS 2000 INTERNET INI SAJA  CYBER,MTX07646831,"INTERNET INI SAJA ,PT",Other Technologies,REGIONAL ENTERPRISE ACCOUNT,EAST REGIONAL,,71942203 (KUN RIYANTO),Complete,1,1,12,389000000,5000000,32000000,NEA
ISPMaxBoost,FAB,4,Apr,5000000,25000000,185000000,60000000,Done,SFA,4/20/2023,4/20/2023,4/27/2023,0065g00000Whdl2,0065g00000Whdl2AAB,(2023-Q2)MaximumBoost,MPLS 1500 ARTORIUS TELEMETRI SENTOSA LONTAR CBYER,MTX07852428,ARTORIUS TELEMETRI SENTOSA,Internet Service Provider(ISP),REGIONAL ENTERPRISE ACCOUNT,EAST REGIONAL,,71942203 (KUN RIYANTO),Complete,1,1,12,245000000,5000000,20000000,REA
ISPMaxBoost,FAB,4,Apr,0,30000000,270000000,90000000,Done,SFA,4/20/2023,4/20/2023,4/27/2023,0065g00000Whdll,0065g00000WhdllAAB,(2023-Q2)MaximumBoost,MPLS 2000 ARTORIUS TELEMETRI SENTOSA  WIJAYA CYBER,MTX07852428,ARTORIUS TELEMETRI SENTOSA,Internet Service Provider(ISP),REGIONAL ENTERPRISE ACCOUNT,EAST REGIONAL,,71942203 (KUN RIYANTO),Complete,1,1,12,360000000,0,30000000,REA
ISPMaxBoost,FAB,4,Apr,0,15000000,135000000,45000000,Done,SFA,4/20/2023,4/20/2023,4/27/2023,0065g00000Whdlv,0065g00000WhdlvAAB,(2023-Q2)MaximumBoost,INP 350 ARTORIUS TELEMETRI SENTOSA CYBER,MTX07852428,ARTORIUS TELEMETRI SENTOSA,Internet Service Provider(ISP),REGIONAL ENTERPRISE ACCOUNT,EAST REGIONAL,,71942203 (KUN RIYANTO),Complete,1,1,12,180000000,0,15000000,REA
ISPMaxBoost,FAB,4,Apr,5000000,51000000,419000000,138000000,Done,SFA,4/20/2023,4/20/2023,4/27/2023,0065g00000WhdmF,0065g00000WhdmFAAR,(2023-Q2)MaximumBoost,INIX 3150 ARTORIUS TELEMETRI SENTOSA CYBER,MTX07852428,ARTORIUS TELEMETRI SENTOSA,Internet Service Provider(ISP),REGIONAL ENTERPRISE ACCOUNT,EAST REGIONAL,,71942203 (KUN RIYANTO),Complete,1,1,12,557000000,5000000,46000000,REA
ISPMaxBoost,FAB,4,Apr,45500000,82900000,382100000,112200000,Done,SFA,4/18/2023,4/17/2023,4/18/2023,0065g00000WhPY9,0065g00000WhPY9AAN,(2023-Q2)MaximumBoost,Lintasmaya Multimedia_IP Transit_ISP Max Boost,MTX08734621,LINTASMAYA MULTI MEDIA,"Arts,entertainment& recreation",REGIONAL ENTERPRISE ACCOUNT,EAST REGIONAL,,84198077 (JUAN AUDYA SENGKEY),Complete,1,13,12,494300000,45500000,37400000,REA
ISPMaxBoost,FAB,4,Apr,3500000,48500000,408500000,135000000,Done,SFA,4/18/2023,4/17/2023,4/18/2023,0065g00000WhPam,0065g00000WhPamAAF,(2023-Q2)MaximumBoost,Multinet Perkasa Indonesia_IP Transit_ISP Max Boos,,MULTINET PERKASA INDONESIA,Internet Service Provider(ISP),REGIONAL ENTERPRISE ACCOUNT,EAST REGIONAL,,84198077 (JUAN AUDYA SENGKEY),Complete,1,1,12,543500000,3500000,45000000,REA
ISPMaxBoost,FAB,4,Apr,29400000,108000000,736800000,235800000,Done,SFA,4/18/2023,4/17/2023,4/18/2023,0065g00000WhPqM,0065g00000WhPqMAAV,(2023-Q2)MaximumBoost,bkv net - ISP Attack,MTX08201781,BKV NET TELEMEDIA,Other Technologies,REGIONAL ENTERPRISE ACCOUNT,EAST REGIONAL,,84198077 (JUAN AUDYA SENGKEY),Complete,1,8,12,972600000,29400000,78600000,REA
ISPMaxBoost,FAB,4,Apr,0,29000000,261000000,87000000,Done,SFA,4/18/2023,4/17/2023,4/18/2023,0065g00000WhPrF,0065g00000WhPrFAAV,(2023-Q2)MaximumBoost,Transkon Jaya - MPLS-ISP Attack,MTX07733027,TRANSKON JAYA,Other Technologies,REGIONAL ENTERPRISE ACCOUNT,EAST REGIONAL,,84198077 (JUAN AUDYA SENGKEY),Complete,1,1,12,348000000,0,29000000,REA
ISPMaxBoost,FAB,4,Apr,42700000,59800000,196600000,51300000,Done,SFA,4/18/2023,4/18/2023,4/18/2023,0065g00000WhPsh,0065g00000WhPshAAF,(2023-Q2)MaximumBoost,comtelindo-isp attack,MTX07793940,COMTELINDO,Internet Service Provider(ISP),REGIONAL ENTERPRISE ACCOUNT,EAST REGIONAL,,84198077 (JUAN AUDYA SENGKEY),Complete,1,10,12,247900000,42700000,17100000,REA
ISPMaxBoost,FAB,4,Apr,3500000,21500000,165500000,54000000,Done,SFA,4/18/2023,4/17/2023,4/18/2023,0065g00000WhX7x,0065g00000WhX7xAAF,(2023-Q2)MaximumBoost,Mitra Internet Tech-IP Transit,MTX07836340,MITRA INTERNET TECH,Internet Service Provider(ISP),REGIONAL ENTERPRISE ACCOUNT,EAST REGIONAL,,84198077 (JUAN AUDYA SENGKEY),Complete,1,1,12,219500000,3500000,18000000,REA
ISPMaxBoost,FAB,4,Apr,0,42000000,378000000,126000000,Done,SFA,4/18/2023,4/17/2023,4/18/2023,0065g00000WhXFX,0065g00000WhXFXAA3,(2023-Q2)MaximumBoost,Internal Source,,MAHAKAM GLOBAL MEDIA,Internet Service Provider(ISP),REGIONAL ENTERPRISE ACCOUNT,EAST REGIONAL,,84198077 (JUAN AUDYA SENGKEY),Complete,1,1,12,504000000,0,42000000,REA
ISPMaxBoost,NO,5,May,0,26275000,175200000,85100000,Done,SFA,5/31/2023,4/14/2023,4/14/2023,0065g00000WhRwY,0065g00000WhRwYAAV,2023-Q2MaximumBoost,Internal Source,MTX10323627,JAVA MEDIA GRUP,Internet Service Provider(ISP),WHOLESALE & CARRIER ACCOUNT,DOMESTIC WHOLESALE & INTERCONNECTION,,88198186 (BAGUS ENDRO WICAKSONO),Develop,1,1,12,260300000,5000000,21275000,WCA
