Activity,Oppty,Corp Name,Group,WEST REGIONAL,Department,Month of event,Program Name,STAGE ,Actual Cost,Revenue
Loyalty,0065g00000Ura1TAAR,PT. TKE Elevator,REA,EAST REGIONAL,JAKARTA,Februari,Loyalty PT ThyssenKrupp Elevator Indonesia,Closed Won,,0
JPS,0065g00000SeWopAAF,BPD Kalimantan Tengah,REA,MEDIA & ENERGY,Kalimantan Area,Februari,(Dirpay) Bchmark Data Center BPD Kalteng,Cash,11826000,7700000000
Loyalty,0065g00000UrSOLAA3,PT. Bukit Asam,KPSA,MEDIA & ENERGY,MEDIA & ENERGY,Februari,(Opex) Loylty Prog.Device PT. Bukit Asam,Closed Lost,16056036,0
Loyalty,0065g00000UrSMtAAN,PT. Bukit Asam,KPSA,MEDIA & ENERGY,MEDIA & ENERGY,Februari,(Opex) Loylty Prog.Device PT. Bukit Asam,Closed Lost,,0
Loyalty,0065g00000UrSLCAA3,PT. Bukit Asam,KPSA,MEDIA & ENERGY,MEDIA & ENERGY,Februari,(Opex) Loylty Prog.Device PT. Bukit Asam,Complete,,865674000
Loyalty,0065g00000UssSGAAZ,PT. Bukit Asam,KPSA,MEDIA & ENERGY,MEDIA & ENERGY,Februari,(Opex) Loylty Prog.Device PT. Bukit Asam,Develop,,60000000
Loyalty,0065g00000UrRcbAAF,PT. Bukit Asam,KPSA,MEDIA & ENERGY,MEDIA & ENERGY,Februari,(Opex) Loylty Prog.Device PT. Bukit Asam,Qualify,,75000000
Loyalty,0065g00000UrSMPAA3,PT. Bukit Asam,KPSA,MEDIA & ENERGY,MEDIA & ENERGY,Februari,(Opex) Loylty Prog.Device PT. Bukit Asam,Identify,,510000000
Loyalty,0065g00000WgA9YAAV,PT. Bukit Asam,KPSA,MEDIA & ENERGY,MEDIA & ENERGY,Februari,(Opex) Loylty Prog.Device PT. Bukit Asam,Identify,,20000000
Loyalty,0065g00000WfwxzAAB,PT. Bukit Asam,KPSA,MEDIA & ENERGY,MEDIA & ENERGY,Februari,(Opex) Loylty Prog.Device PT. Bukit Asam,Identify,,100000000
Loyalty,0065g00000WgF7gAAF,PT. Bukit Asam,KPSA,PUBLIC SECTOR,MEDIA & ENERGY,Februari,(Opex) Loylty Prog.Device PT. Bukit Asam,Identify,,20000000
Sponsorship,0065g00000WScVEAA1,PT. Adhi Karya,SEA,SUPPLY CHAIN & SERVICES,Account Director,Februari,Sponsr. HUT Adhikarya,Qualify,25000000,2000000000
