Activity,Oppty,Corp Name,Group,WEST REGIONAL,Department,Month of event,Program Name,STAGE ,Actual Cost,Revenue
JPS,0065g00000P3zKmAAJ,Diskominfo Lampung Timur,REA,WEST REGIONAL,SOUTHERN SUMATERA,Okt'22,MoU BencmrkLampung ke Jembrana,Closed Lost,82458000,158333333
JPS,0065g00000P3zKmAAJ,Diskominfo Lampung Timur,REA,WEST REGIONAL,SOUTHERN SUMATERA,Okt'22,MoU BencmrkLampung ke Jembrana,Closed Lost,,0
JPS,0065g00000P3bQmAAJ,Diskominfo Lampung Timur,REA,WEST REGIONAL,SOUTHERN SUMATERA,Okt'22,MoU BencmrkLampung ke Jembrana,Closed Lost,,0
JPS,0065g00000P3bQmAAJ,Diskominfo Lampung Timur,REA,Null,SOUTHERN SUMATERA,Okt'22,MoU BencmrkLampung ke Jembrana,Closed Lost,,400000000
JPS,0065g00000FlLkEAAV,Pertamina Persero,SEA,EAST REGIONAL,Media & Energy,Okt'22,Pertamina Persero,Closed Lost,17280000,0
JPS,0065g00000P34HbAAJ,Kab. Magelang,REA,EAST REGIONAL,CENTRAL JAVA,Okt'22,Dinas Kab. MAGELANG,Cash,8910000,177700000
JPS,0065g00000P3lX0AAJ,Kab. Magelang,REA,EAST REGIONAL,CENTRAL JAVA,Okt'22,Dinas Kab. MAGELANG,Identify,,200000000
JPS,0065g00000P3lXZAAZ,Kab. Magelang,REA,EAST REGIONAL,CENTRAL JAVA,Okt'22,Dinas Kab. MAGELANG,Identify,,100000000
JPS,0065g00000P3yqMAAR,Kab. Wonosobo,REA,EAST REGIONAL,CENTRAL JAVA,Okt'22,Dinas Kab. Wonosobo,Cash,10044000,82200001
JPS,0065g00000P3ytVAAR,Kab. Wonosobo,REA,EAST REGIONAL,CENTRAL JAVA,Okt'22,Dinas Kab. Wonosobo,Identify,,0
JPS,0065g00000P3yuOAAR,Kab. Wonosobo,REA,EAST REGIONAL,CENTRAL JAVA,Okt'22,Dinas Kab. Wonosobo,Identify,,0
JPS,0065g00000P34iJAAR,Kab. Klaten,REA,EAST REGIONAL,CENTRAL JAVA,Okt'22,Dinas Kab.KLATEN,Cash,9612000,148000000
JPS,0065g00000P3lLSAAZ,Kab. Klaten,REA,EAST REGIONAL,CENTRAL JAVA,Okt'22,Dinas Kab.KLATEN,Identify,,200000000
JPS,0065g00000P3lMpAAJ,Kab. Klaten,REA,BANKING & FINANCIAL INSTITUTION,CENTRAL JAVA,Okt'22,Dinas Kab.KLATEN,Identify,,100000000
JPS,0065g00000P3IqPAAV,ARTAJASA PEMBAYARAN ELEKTRONIS PT,NEA,BANKING & FINANCIAL INSTITUTION,FINANCE & MULTINATIONAL BANK,Okt'22,Artajasa Kick Off Mtg_23,Cash,7290000,2489000000
JPS,0065g00000MIYoZAAX,ARTAJASA PEMBAYARAN ELEKTRONIS PT,NEA,BANKING & FINANCIAL INSTITUTION,FINANCE & MULTINATIONAL BANK,Okt'22,Artajasa Kick Off Mtg_23,Complete,,1000000000
Loyalty,0065g00000K7HqbAAF,PT. Gojek Indonesia,NEA,BANKING & FINANCIAL INSTITUTION,FINANCE & MULTINATIONAL BANK,Okt'22,Loyalty PT Gojek Indonesia,Closed Lost,10540540,26000100000
Loyalty,0065g00000MGUZeAAP,PT. Gojek Indonesia,NEA,BANKING & FINANCIAL INSTITUTION,FINANCE & MULTINATIONAL BANK,Okt'22,Loyalty PT Gojek Indonesia,Identify,,0
Loyalty,0065g00000MIDiOAAX,PT. Gojek Indonesia,NEA,BANKING & FINANCIAL INSTITUTION,FINANCE & MULTINATIONAL BANK,Okt'22,Loyalty PT Gojek Indonesia,Complete,,200000000
Loyalty,0065g00000MIDiOAAX,PT. Gojek Indonesia,NEA,BANKING & FINANCIAL INSTITUTION,FINANCE & MULTINATIONAL BANK,Okt'22,Loyalty PT Gojek Indonesia,Complete,,0
Loyalty,0065g00000MITurAAH,PT. Gojek Indonesia,NEA,DOMESTIC WHOLESALE & INTERCONNECTION,FINANCE & MULTINATIONAL BANK,Okt'22,Loyalty PT Gojek Indonesia,Complete,,20000000
Loyalty,0065g00000JbNWYAA3,PT. LINKNET,WCA,DOMESTIC WHOLESALE & INTERCONNECTION,ISP,Okt'22,Loyalty Prog PT LINKNET,Complete,55676578,210000000
Loyalty,0065g00000SdqAFAAZ,PT. LINKNET,WCA,EAST REGIONAL,ISP,Okt'22,Loyalty Prog PT LINKNET,Complete,,355000000
Connex,0065g00000P59XBAAZ,UNIV. ISLAM INDONESIA (UII),REA,EAST REGIONAL,CENTRAL JAVA,Okt'22,Connex Q4 - Bali,Develop,,103000000
Connex,0065g00000MG8q0AAD,UNIVERSITAS ISLAM NEGERI WALISONGO SEMARANG DITJEN PENDIDIKAN ISLAM,REA,EAST REGIONAL,CENTRAL JAVA,Okt'22,Connex Q4 - Bali,Complete,,0
Connex,0065g00000P3j8zAAB,UNIVERSITAS DIPONEGORO (UNDIP),REA,EAST REGIONAL,CENTRAL JAVA,Okt'22,Connex Q4 - Bali,Cash,,900000000
Connex,0065g00000Lpge5AAB,UNIVERSITAS SEBELAS MARET (UNS),REA,EAST REGIONAL,CENTRAL JAVA,Okt'22,Connex Q4 - Bali,Cash,,900000000
Connex,0065g00000LYf1pAAD,POLITEKNIK NEGERI SEMARANG (POLINES),REA,EAST REGIONAL,CENTRAL JAVA,Okt'22,Connex Q4 - Bali,Closed Lost,,245000000
Connex,0065g00000P313dAAB,Universitas Pendidikan Ganesha,REA,EAST REGIONAL,BALI NUSRA,Okt'22,Connex Q4 - Bali,Closed Lost,,
Connex,0065g00000P3150AAB,Politeknik Negeri Bali,REA,EAST REGIONAL,BALI NUSRA,Okt'22,Connex Q4 - Bali,Complete,,
Connex,0065g00000P3rh1AAB,Universitas Muhammadiyah Mataram,REA,Null,BALI NUSRA,Okt'22,Connex Q4 - Bali,Complete,,100000000
Connex,0065g00000SdjFPAAZ,UNIVERSITAS TANJUNGPURA,Null,EAST REGIONAL,Null,Okt'22,Connex Q4 - Bali,Complete,,108500000
Connex,0065g00000P4SFzAAN,UNIVERSITAS TANJUNGPURA,REA,3 Biz,KALIMANTAN,Okt'22,Connex Q4 - Bali,Complete,,350000000
Connex,0065g00000MHsQUAA1,UNIVERSITAS LAMBUNG MANGKURAT,Null,EAST REGIONAL,3 Biz,Okt'22,Connex Q4 - Bali,Complete,,30000000
Connex,0065g00000LYeuBAAT,Universitas Brawijaya,REA,EAST REGIONAL,EAST JAVA,Okt'22,Connex Q4 - Bali,Cash,,
Connex,0065g00000K5tlAAAR,Universitas Negeri Malang,REA,EAST REGIONAL,EAST JAVA,Okt'22,Connex Q4 - Bali,Cash,,279837550
Connex,0065g00000P3al4AAB,Politeknik Negeri Malang,REA,EAST REGIONAL,EAST JAVA,Okt'22,Connex Q4 - Bali,Cash,,503500000
Connex,0065g00000ScarkAAB,Universitas Pembangunan Nasional Jatim,REA,EAST REGIONAL,EAST JAVA,Okt'22,Connex Q4 - Bali,Complete,,300000089
Connex,0065g00000P3yADAAZ,UIN Sunan Ampel,REA,EAST REGIONAL,EAST JAVA,Okt'22,Connex Q4 - Bali,Complete,,1780047800
Connex,0065g00000ScOtMAAV,UNIVERSITAS TRUNOJOYO MADURA,REA,EAST REGIONAL,EAST JAVA,Okt'22,Connex Q4 - Bali,Complete,,150000000
Connex,0065g00000P3rUwAAJ,UNIVERSITAS NAHDATUL ULAMA SURABAYA,REA,EAST REGIONAL,EAST JAVA,Okt'22,Connex Q4 - Bali,Identify,,0
Connex,0065g00000P3e7SAAR,UNIVERSITAS NAHDATUL ULAMA SURABAYA,REA,WEST REGIONAL,EAST JAVA,Okt'22,Connex Q4 - Bali,Identify,,0
Connex,0065g00000MHWTqAAP,UNIVERSITAS SRIWIJAYA,REA,WEST REGIONAL,SOUTHERN SUMATERA,Okt'22,Connex Q4 - Bali,Closed Lost,,550000000
Connex,0065g00000MH1RrAAL,Universitas Jambi,REA,WEST REGIONAL,SOUTHERN SUMATERA,Okt'22,Connex Q4 - Bali,Closed Lost,,1544991151
Connex,0065g00000P47xuAAB,Universitas Bengkulu,REA,WEST REGIONAL,SOUTHERN SUMATERA,Okt'22,Connex Q4 - Bali,Closed Lost,,
Connex,0065g00000MHja0AAD,IAIN Metro,REA,WEST REGIONAL,SOUTHERN SUMATERA,Okt'22,Connex Q4 - Bali,Closed Lost,,0
Connex,0065g00000MGpZAAA1,Universitas Lampung,REA,WEST REGIONAL,SOUTHERN SUMATERA,Okt'22,Connex Q4 - Bali,Closed Lost,,
Connex,0065g00000Sc2YdAAJ,POLITEKNIK NEGERI JAKARTA,REA,3 Biz,"BEKASI, DEPOK & BOGOR",Okt'22,Connex Q4 - Bali,Complete,,
Connex,0065g00000ScQiqAAF,UNIVERSITAS ISLAM INTERNATIONAL INDONESIA,Null,WEST REGIONAL,3 Biz,Okt'22,Connex Q4 - Bali,Complete,,456000000
Connex,0065g00000ScIxeAAF,UNIVERSITAS MUHAMMADIYAH PROF DR HAMKA ( UHAMKA ),REA,Null,"BEKASI, DEPOK & BOGOR",Okt'22,Connex Q4 - Bali,Closed Won,,50000000
Connex,0065g00000SePXZAA3,Politeknik Negeri Padang,Null,WEST REGIONAL,Null,Okt'22,Connex Q4 - Bali,Complete,,
Connex,0065g00000Kb5G6AAJ,Universitas Riau,REA,Null,NORTHERN SUMATERA,Okt'22,Connex Q4 - Bali,Complete,,
Connex,0065g00000SeeMCAAZ,UIN Sultan Syarif Kasim,Null,WEST REGIONAL,Null,Okt'22,Connex Q4 - Bali,Complete,,600000000
Connex,0065g00000P3g1IAAR,Universitas Negeri Medan,REA,EAST REGIONAL,NORTHERN SUMATERA,Okt'22,Connex Q4 - Bali,Cash,,990000000
Connex,0065g00000Ka4sdAAB,Universitas Muhammadiyah Malang,REA,EAST REGIONAL,NEW SALES ACCOUNT EAST,Okt'22,Connex Q4 - Bali,Cash,,1400000000
Connex,0065g00000LWXb2AAH,Universitas Hangtuah,REA,WEST REGIONAL,NEW SALES ACCOUNT EAST,Okt'22,Connex Q4 - Bali,Complete,,
Connex,0065g00000ScmErAAJ,Institut Teknologi Bandung (ITB),REA,WEST REGIONAL,WEST JAVA,Okt'22,Connex Q4 - Bali,Cash,,2400000000
Connex,0065g00000ScdrvAAB,ITB Kampus Cirebon,REA,WEST REGIONAL,WEST JAVA,Okt'22,Connex Q4 - Bali,Closed Lost,,100000000
Connex,0065g00000MIFqyAAH,Politeknik Negeri Bandung,REA,WEST REGIONAL,WEST JAVA,Okt'22,Connex Q4 - Bali,Closed Lost,,48000000
Connex,0065g00000P4YmdAAF,Universitas Katolik Parahyangan,REA,WEST REGIONAL,WEST JAVA,Okt'22,Connex Q4 - Bali,Cash,,17000000
Connex,0065g00000P3PUrAAN,UIN Sunan Gunung Jati,REA,WEST REGIONAL,WEST JAVA,Okt'22,Connex Q4 - Bali,Closed Lost,,75000000
Connex,0065g00000MIBYGAA5,Universitas Kristen Maranatha,REA,WEST REGIONAL,WEST JAVA,Okt'22,Connex Q4 - Bali,Closed Lost,,113500000
Connex,0065g00000MIEXqAAP,STTT Bandung,REA,EAST REGIONAL,WEST JAVA,Okt'22,Connex Q4 - Bali,Closed Lost,,0
Connex,0065g00000P34KLAAZ,Universitas Hasanuddin,REA,EAST REGIONAL,SULAWESI,Okt'22,Connex Q4 - Bali,Identify,,
Connex,0065g00000Sc7iLAAR,Universitas Negeri Manado,REA,EAST REGIONAL,SULAWESI,Okt'22,Connex Q4 - Bali,Complete,,
Connex,0065g00000Sc7hrAAB,Universitas Negeri Manado,REA,Null,SULAWESI,Okt'22,Connex Q4 - Bali,Complete,,
Connex,0065g00000MIA8QAAX,Universitas Sam Ratulangi,Null,WEST REGIONAL,Null,Okt'22,Connex Q4 - Bali,Cash,,1195000000
Connex,0065g00000LpXxKAAV,POLITEKNIK KESEHATAN JAKARTA III BADAN PENGEMBANGAN DAN,REA,Null,JAKARTA & BANTEN,Okt'22,Connex Q4 - Bali,Closed Lost,,13500000
Connex,0065g00000Sdy3VAAR,UIN SULTAN MAULANA HASANUDIN BANTEN,Null,3 Biz,WEST JAVA,Okt'22,Connex Q4 - Bali,Complete,,
Connex,0065g00000Sd0IYAAZ,UNIVERSITAS INDONESIA,Null,WEST REGIONAL,3 Biz,Okt'22,Connex Q4 - Bali,Closed Lost,,450000000
Connex,0065g00000Sc2aFAAR,Institut Pertanian Bogor ,REA,WEST REGIONAL,"BEKASI, DEPOK & BOGOR",Okt'22,Connex Q4 - Bali,Closed Lost,,550000000
Connex,0065g00000SdGMXAA3,Institut Pertanian Bogor ,REA,GOVERNMENT & PUBLIC SECTOR,"BEKASI, DEPOK & BOGOR",Okt'22,Connex Q4 - Bali,Closed Lost,,
Connex,0065g00000KZVvLAAX,UNIVERSITAS TERBUKA,KPSA,3 Biz,MINISTRY & GOVERNMENT AGENCY,Okt'22,Connex Q4 - Bali,Closed Lost,,10000000
Connex,0065g00000ScrfkAAB,Universitas Esa Unggul,Null,Media & Energy,3 Biz,Okt'22,Connex Q4 - Bali,Closed Lost,,345000000
JPS,0065g00000MHw3TAAT,Badan Siber dan Sandi Negara,SEA,Media & Energy,Public Sector,Nov'22,JPS Badan Siber dan Sandi Negara (BSSN),Complete,62125000,43759457860
JPS,0065g00000MHwMDAA1,Badan Siber dan Sandi Negara,SEA,Media & Energy,Public Sector,Nov'22,JPS Badan Siber dan Sandi Negara (BSSN),Closed Lost,,17000000000
JPS,0065g00000MHwNpAAL,Badan Siber dan Sandi Negara,SEA,Media & Energy,Public Sector,Nov'22,JPS Badan Siber dan Sandi Negara (BSSN),Complete,,5299248020
JPS,0065g00000MHwOTAA1,Badan Siber dan Sandi Negara,SEA,DOMESTIC WHOLESALE & INTERCONNECTION,Public Sector,Nov'22,JPS Badan Siber dan Sandi Negara (BSSN),Closed Lost,,175000000
Loyalty,0065g00000MIAoJAAX,PT. Supra Primatama Nusantara (Biznet),WCA,DOMESTIC WHOLESALE & INTERCONNECTION,Carrier,Nov'22,Loyalty PT. Supra Primatama Nusantara,Cash,44820000,65000000
Loyalty,0065g00000MIAnuAAH,PT. Supra Primatama Nusantara (Biznet),WCA,DOMESTIC WHOLESALE & INTERCONNECTION,Carrier,Nov'22,Loyalty PT. Supra Primatama Nusantara,Cash,,65000000
Loyalty,0065g00000MH5ClAAL,PT. Supra Primatama Nusantara (Biznet),WCA,DOMESTIC WHOLESALE & INTERCONNECTION,Carrier,Nov'22,Loyalty PT. Supra Primatama Nusantara,Closed Lost,,330000000
Loyalty,0065g00000MGlKRAA1,PT. Supra Primatama Nusantara (Biznet),WCA,DOMESTIC WHOLESALE & INTERCONNECTION,Carrier,Nov'22,Loyalty PT. Supra Primatama Nusantara,Complete,,505000000
Loyalty,0065g00000Sfl23AAB,PT. Supra Primatama Nusantara (Biznet),WCA,WEST REGIONAL,Carrier,Nov'22,Loyalty PT. Supra Primatama Nusantara,Complete,,876428571
JPS,0065g00000SdIOKAA3,Biro Pengadaan Barang & Jasa Seda Jabar,REA,EAST REGIONAL,WEST JAVA,Nov'22,JPS Biro Pengadaan Barang & Jasa SEKDA JABAR,Complete,9180000,1000000000
Sponsorship,0065g00000LnVY1AAN,PT. Dutakom Wibawa Putra,REA,EAST REGIONAL,EAST JAVA,Nov'22,Sponsorship ID Connect,Closed Lost,10000000,155000000
Sponsorship,0065g00000LW7qRAAT,PT. Dutakom Wibawa Putra,REA,BANKING & FINANCIAL INSTITUTION,EAST JAVA,Nov'22,Sponsorship ID Connect,Closed Lost,,105000000
Loyalty,0065g00000LpNf2AAF,PT BANK DBS INDONESIA,NEA,BANKING & FINANCIAL INSTITUTION,FINANCE & MULTINATIONAL BANK,Nov'22,Loyalty Bank DBS,Closed Lost,32200569,0
Loyalty,0065g00000Scv8IAAR,PT BANK DBS INDONESIA,NEA,BANKING & FINANCIAL INSTITUTION,FINANCE & MULTINATIONAL BANK,Nov'22,Loyalty Bank DBS,Complete,,0
Loyalty,0065g00000MIERNAA5,PT BANK DBS INDONESIA,NEA,WEST REGIONAL,FINANCE & MULTINATIONAL BANK,Nov'22,Loyalty Bank DBS,Complete,,0
Loyalty,0065g00000Se6VVAAZ,PT. LINTAS JARINGAN NUSANTARA ,REA,WEST REGIONAL,NORTHERN SUMATERA,Nov'22,Loyalty Baseline Attack Dept North Sumatra,Complete,260070270,8500000
Loyalty,0065g00000SeUjaAAF,PT. PANCA DUTA UTAMA ,REA,WEST REGIONAL,NORTHERN SUMATERA,Nov'22,Loyalty Baseline Attack Dept North Sumatra,Cash,,27000000
Loyalty,0065g00000MIKp4AAH,PT RACKH LINTAS ASIA,REA,WEST REGIONAL,NORTHERN SUMATERA,Nov'22,Loyalty Baseline Attack Dept North Sumatra,Cash,,41000000
Loyalty,0065g00000MIBDzAAP,PT. JARINGANKU SARANA NUSANTARA,REA,WEST REGIONAL,NORTHERN SUMATERA,Nov'22,Loyalty Baseline Attack Dept North Sumatra,Cash,,29000000
Loyalty,0065g00000MG84JAAT,PT. JARINGANKU SARANA NUSANTARA,REA,WEST REGIONAL,NORTHERN SUMATERA,Nov'22,Loyalty Baseline Attack Dept North Sumatra,Cash,,35500000
Loyalty,0065g00000P2nkWAAR,PT. KAYONG MUARA TEKNOINDO ,REA,WEST REGIONAL,NORTHERN SUMATERA,Nov'22,Loyalty Baseline Attack Dept North Sumatra,Complete,,90000000
JPS,0065g00000UqXQdAAN,Universitas Jambi,REA,WEST REGIONAL,SOUTHERN SUMATERA,Des'22,JPS Univ. Jambi 2022,Closed Lost,19440000,0
JPS,0065g00000UqXQdAAN,Universitas Jambi,REA,WEST REGIONAL,SOUTHERN SUMATERA,Des'22,JPS Univ. Jambi 2022,Closed Lost,,425000000
JPS,0065g00000Ur74UAAR,Universitas Jambi,REA,GOVERNMENT & PUBLIC SECTOR,SOUTHERN SUMATERA,Des'22,JPS Univ. Jambi 2022,Closed Lost,,1500000000
JPS,0065g00000P3YgmAAF,PT. KAI,KPSA,WEST REGIONAL,MINISTRY & GOVERNMENT AGENCY,Des'22,JPS KAI Kick off meetg,Identify,31206600,0
Loyalty,0065g00000Kc25tAAB,PT. Royal Abadi Sejahtera,REA,DOMESTIC WHOLESALE & INTERCONNECTION,WEST JAVA,Des'22,Loyalty Prog. PT. Royal Abadi Sejahtera,Develop,2830000,5050750
Loyalty,0065g00000UqJ1oAAF,PT. MORATEL,WCA,DOMESTIC WHOLESALE & INTERCONNECTION,CARRIER,Des'22,Loyalty PT. MORATEL,Identify,103700000,0
Loyalty,0065g00000UqJ3zAAF,PT. MORATEL,WCA,DOMESTIC WHOLESALE & INTERCONNECTION,CARRIER,Des'22,Loyalty PT. MORATEL,Identify,,0
